correct,options,question,rationale,spatial representations,counting and operation,logical problem solving
C,"['A)1.10x', 'B)1.20x', 'C)1.21x', 'D)1.25x', 'E)1.33x']","In 1989 the price of a new model S car was x dollars. If the price of the model S car increased each year by 10 percent of the previous year's price, what was the price of the car, in dollars, in 1991?","Price of car in 1989 = x
10 percent increase per year for 2 years
Price of car in 1991 = (1.1)^2 *x
= 1.21 x
Answer C",0,0,0
C,"['A)41', 'B)42', 'C)43', 'D)44', 'E)45']","Esteban is in a line at a theater. If he is the 26th person counting from the back of the line and the 18th person counting from the front of the line, how many people are in the line?","Total no. of persons = (Position of A from left + Position of A from right) -1
Total no. of persons = (26 + 18) – 1 = 44 – 1 = 43
Ans C",0,0,0
B,"['A)29', 'B)30', 'C)31', 'D)32', 'E)None']","Divide the number 49 into two parts, such that if the greater part is increased by 6 and the lesser part is decreased by 11, their ratio is 9 to 2.","Let x = the greater part, and 49-x = the lesser part.
By the conditions proposed, x+6:49-x-11 = x+6:38-x- = 9:2
Adding the terms, x+6:44 = 9:11
x+6:4 = 9:1
x+6 = 36. And x = 30.
Answer B",0,0,0
A,"['A)40 %', 'B)60 %', 'C)50 %', 'D)33 %', 'E)None of these']",A Doctor must see 35 patients in a day. At 4 PM the doctor had seen 21 of his patients. What percentage of patients had he not seen ?,"Patients not seen = 35 - 21 = 14
Patients not seen percentage = (14/35 x 100) %
= 40%
Answer : A",0,0,0
D,"['A)$208.10', 'B)$198.50', 'C)$210.00', 'D)$200.00', 'E)$196.65']","Jay is selling his shoes and making a 15% gain from it. His friend wants to buy them so he offers him a 5% discount. At what price did Jay originally buy his shoes, if he sold it to his friend for $218.50?","If the shoes were sold at $218.50 after a 5% discount, they were originally 218.50/0.95 = 230
If at that price, Jay was making 15% gains, the original price of the shoes was 230/1.15 = 200",0,0,0
A,"['A)16', 'B)9.5', 'C)9.6', 'D)10.5', 'E)14.4']","If the area of a square region having sides of length 6 centimeters is equal to the area of a rectangular region having width 2 centimeters, then the length of the rectangle, in centimeters, is","6^2=2 * x
x=36/2=16
Ans is A.",0,0,0
A,"['A)46.', 'B)23.', 'C)16.', 'D)15', 'E)11.5']",Gina and Tina's average grade is 23 points higher than Tina's grade. What is the difference between their grades?,"Given: Gina and Tina's average grade is 23 points higher than Tina's grade
Then we can write it ( G + T ) / 2 = 23 + T.
=> ( G + T ) = 46 + 2T.
G - T = 46.
Answer A is correct option",0,0,0
C,"['A)500', 'B)375', 'C)240', 'D)225', 'E)180']","Of a certain high school graduating class, 25 percent of the students continued their formal education, and 50 percent of those who continued their formal education went to four-year colleges. If 100 students in the class went to four-year colleges, how many students were in the graduating class?","30 students went to a 4-year colleges.
This was 50 % of all those who continued their formal education, after completing graduation.
=> 60 students continued their formal education, after completing graduation.
And, this was 25 % of total students in graduaction class.
=> 240 total students in graduation class.
Answer C",0,0,0
C,"['A)1.75km', 'B)2.75km', 'C)3.75km', 'D)4.75km', 'E)5.75km']",A cycled from P to Q at 10 kmph and returned at the rate of 9 kmph. B cycled both ways at 12 kmph. In the whole journey B took 10 minutes less than A. Find the distance between P and Q.,"A -time = d/10 + d/9 = 19d/90 hours
B -time = 2d/12 = d/6 hours
10 min = 1/6 hours
Thus 19d/90 - d/6 = 1/6
(19d-15d)/90 = 1/6
4d/90 = 1/6
thus d= 15/4 km = 3.75km
ANSWER:C",0,0,0
D,"['A)60', 'B)90', 'C)162', 'D)300', 'E)360']","If a rectangular box has two faces with an area of 25, two faces of area 50, and two faces of area 72, what is its volume?","Width*Depth = 25;
Width*Height = 50;
Depth*Height = 72.
Multiply: (Width*Depth*Height)^2
= Volume^2 = 25*50*72
volume = 300.
Answer: D.",0,0,0
A,"['A)51%', 'B)30%', 'C)50%', 'D)170%', 'E)153%']",Q is 30% of N. N is 170% of Y. What percentage of Y is Q?,"if...
Q=.3N
N=1.7Y
then...
Q/.3=1.7Y
Multiply both sides by .3
Q=.51Y
Q is 51% of Y
The answer is A",0,0,0
D,"['A)Rs.6000', 'B)Rs.10,000', 'C)Rs.12,000', 'D)Rs.18,000', 'E)None']","The prices of a scooter and a television set are in the ratio 3:2 . If a scooter costs Rs.6000 more than the television set, the price of the scooter is :","Let the price of scooter be Rs.3x and that of a television set be Rs.2x.
Then 3x-2x=6000 or x = 6000
Cost of a scooter = 3x = Rs.18000
Correct Option: D",0,0,0
B,"['A)32000 rs.', 'B)28000 rs.', 'C)24000 rs.', 'D)21000 rs.', 'E)none of the above']","A scooter and a television cost ratio is 8:7. If cost of scooter is 4000 rs. more than television. Then, calculate the cost of television?","Let cost of scooter is 8x rs. and cost of television is 7x rs.
(8x-7x)=4000,x=4000 rs.
cost of television=7x=28000 rs.
answer B",0,0,0
E,"['A)2', 'B)6', 'C)8', 'D)9', 'E)4']",The length of each side of an equilateral triangle having an area of 4√3 cm^2 is?,"√3/4a^2=4√3
a=4
Answer : E",0,0,0
C,"['A)105', 'B)120', 'C)125', 'D)140', 'E)145']",The sum of odd numbers between 20 and 30 is,"21+23+25+27+29= 125
ANSWER:C",0,0,0
A,"['A)6', 'B)7', 'C)8', 'D)9', 'E)10']","In the reading room of a library, there are 10 tables, 4 chairs per table. In each table there are different numbers of people seated. How many ways they will sit in the library so that no chair would be blank?","First table =1
Second table=2
Third table=3
Fourth table=4
since only 4 person can sit on a table hence no other arrangement is done
so total no of table occupied is 4
no of table left unoccupied is (10-4)=6
ANSWER:A",0,0,0
A,"['A)17.456 m/sec', 'B)18.456 m/sec', 'C)19.456 m/sec', 'D)27.456 m/sec', 'E)21.456 m/sec']",An engine of length 1000 m moving at 10 m/s. A bird is flying from the start of the engine to the end at x kmph and coming back at 2x. Take total time of bird traveling as 187.5 seconds. Find x and 2x,"Suppose the bird's speed is s and 2s.
While flying at the same direction of the engine's movement, relative speed = (s+10) m/sec
on the reverse direction, relative speed = (2s-10) m/sec
so
1000/(s+10) + 1000/(2s-10) = 187.5 secs
Solving it, we get s= 8.728 m/sec and 2s= 17.456 m/sec
ANSWER:A",0,0,0
B,"['A)8.32', 'B)8.33', 'C)8.31', 'D)8.18', 'E)8.319']",Consider a courier company A which can deliver 100 parcels in 5 days with 5 men working for 8 hours a day. Consider another courier company B where every employee is equally efficient as that of company B. Company B is short of one man when compared to A and has a policy of asking its workers to work only for 6 hours a day. How long (in days) company B will take to deliver 100 parcels.,"Total amount of work done by Members of A in delivering 100 parcels (in terms of man hours) = 5 × 5 × 8 = 200 hours
Company B has 4 employees and each of them work 6 hours a day, Hence, work done per each day = 24
Therefore no.of days required to deliver 100 parcels = Number of days required to do 200 units of work = 200/24 = 8.33. Hence answer is a.
Answer:B",0,0,0
A,"['A)17 min', 'B)16 min', 'C)18 min', 'D)15 min', 'E)19 min']","Four people need to cross a dark river at night.
* They have only one torch and the river is too risky to cross without the torch.
* If all people cross simultaneously then torch light wont be sufficient.
* Speed of each person of crossing the river is different.cross time for each person is 1 min, 2 minutes, 7 minutes and 10 minutes.
What is the shortest time needed for all four of them to cross the river ?","A
17 min
The initial solution most people will think of is to use the fastest person as an usher to guide everyone across. How long would that take? 10 + 1 + 7 + 1 + 2 = 21 minutes. Is that it? No. That would make this question too simple even as a warm up question.
Let's brainstorm a little further. To reduce the amount of time, we should find a way for 10 and 7 to go together. If they cross together, then we need one of them to come back to get the others. That would not be ideal. How do we get around that? Maybe we can have 1 waiting on the other side to bring the torch back. Ahaa, we are getting closer. The fastest way to get 1 across and be back is to use 2 to usher 1 across. So let's put all this together.
1 and 2 go cross
2 comes back
7 and 10 go across
1 comes back
1 and 2 go across (done)
Total time = 2 + 2 + 10 + 1 + 2 = 17 minutes",0,0,0
B,"['A)240', 'B)300', 'C)400', 'D)None of these', 'E)Cannot be determined']","Davji Shop sells samosas in boxes of different sizes. The samosas are priced at Rs. 2 per samosa up to 200 samosas. For every additional 20 samosas, the price of the whole lot goes down by 10 paise per samosa. What should be the maximum size of the box that would maximise the revenue?","Number of samosas = 200 + 20n, where n is a natural number.
Price per samosa = Rs( 2 - 0.1n) .
Revenue = (200 + 20n)( 2 - 0.1n) = 400 + 20n -2n2.
For maxima 20 - 4n = 0, by differentiation n = 5.
=> Maximum revenue will be at (200 + 20 x 5) i.e 300 samosas.
Answer : B",0,0,0
A,"['A)20.0', 'B)21.1', 'C)10.1', 'D)15.1', 'E)16.2']","If the ratio of age of mother and son 3:5, and the mother is 12 years old, then what will be the age of son?","3 / 5 = 12 / x
x = (5 * 12) / 3
x= 20.0",0,0,0
A,"['A)12000,20000', 'B)18000,14000', 'C)30000,2000', 'D)4000,20000', 'E)20000,12000']",Divide Rs.32000 in the ratio 3:5?,"3/8 * 32000 = 12000
5/8 * 32000 = 20000
Answer: Option A",0,0,0
A,"['A)35.07', 'B)36.21', 'C)35.52', 'D)34', 'E)34.25']",What is the interest due after 40 days for Rs. 3200 at 10% interest per year?,"Explanation :
Simple Interest, SI = PRT/100
=3200×10×40/365 /100
=35.07
Option A",0,0,0
C,"['A)72', 'B)65', 'C)84', 'D)59', 'E)91']",A bakery has 4 varieties of pastries. Each variety is having many number of pastry. I want to purchase of 10 pastries such that I get to taste each variety. How many ways to purchase?,"no. of varieties = 4
Let they are A,B,C,D
Required answer is 9C3 = 9!/6!*3! = 84
Answer is C",0,0,0
A,"['A)15/4 hours', 'B)16/4 hours', 'C)17/6 hours', 'D)12/9 hours', 'E)16/7 hours']","Fernando Alonso and Sebastian Vettel go for a car race. Before the start of race, both of them have the exactly same amount of fuel in their respective cars. With the given fuel Fernando can drive continuously for 4 hours while Vettel can drive 1 hour more.
After some time they realize that amount of fuel left in Sebastian car is 4 times the fuel in Fernando car.
For long have they been racing ?","Let us say they drive for ""t"" hours and the initial fuel is ""f""
Amount of fuel consumed by Fernando car is ft/4
Amount of fuel consumed by Sebastian car is ft/5
As per given condition,
f - ft/5 = 4(f-ft/4)
t = 15/4 hours",0,0,0
E,"['A)90', 'B)92', 'C)93', 'D)91', 'E)94']","Kelly finished 30th in a marathon race. if he was the 65th slowest in the race, how many runners were in the race?","If kelly was 30th in the race that means 29 runners finished before him. If he had the 65th slowest time that means 64 runners finished after him. The total number of runners who finished the marathon is 29 + 1 + 64 = 94.
The correct answer is E.",0,0,0
A,"['A)12', 'B)71', 'C)17', 'D)19', 'E)10']",One side of a rectangular field is 4 m and its length along diagonal is 5 m. What is the area of the field?,"lb = 3 * 4
= 12
Answer: A",0,0,0
D,"['A)193:122', 'B)61:97', 'C)137:178', 'D)122:193', 'E)122:195']","Equal quantities of three mixtures of milk and water are mixed in the ratio 1:2, 2:3 and 3:4. The ratio of water and milk in the mixture is:","(1:2),(2:3),(3:4)
(1+2),(2+3),(3+4)
3,5,7
equal quantities of mixture i.e. lcm of 3,5,7=105
105/3=35 , 105/5=21 , 105/7=15
(35*1,35*2),(21*2,21*3),(15*3,15*4)
(35,70),(42,63),(45,60)
so overall mixture ratio is
35+42+45:70+63+60
122:193
ANSWER:D",0,0,0
A,"['A)$10,000', 'B)$15,000', 'C)$20,000', 'D)$25,000', 'E)$30,000']","My company's funding allows for 5 employees. The proposed offer is $315,000 to distribute evenly to the workers, but they employees are demanding $65,000 each. How much more money does the company need to offer to pay all the workers this amount?","5 people x $65,000 = $325,000.
$325,000 - $315,000 = $10,000
The answer is A",0,0,0
B,"['A)29.12', 'B)29.16', 'C)30.12', 'D)32.65', 'E)none of these']","In 1978, a kg of paper was sold at Rs25/-. If the paper rate increases at 1.5% more than the inflation rate which is 6.5% a year, then what will be the cost of a kg of paper after 2 years?","1.5%+6.5% = 8% (rate increase every year)
25*8% = 2/- 25+2= 27
27*8% = 2.16/- 27+2.16 = 29.16 /-
ANSWER:B",0,0,0
B,"['A)Rs. 1943.40', 'B)Rs. 1934.40', 'C)Rs. 1394.40', 'D)Rs. 1493.40', 'E)None of them']",Find the cost of carpeting a room 13 m long and 9 m broad with a carpet 75 cm wide at the rate of Rs. 12.40 per square metre.,"Area of the carpet = Area of the room = (13 * 9) m2 = 117 m2.
Length of the carpet = (area/width) = 117 *(4/3) m = 156 m.
Therefore, Cost of carpeting = Rs. (156 * 12.40) = Rs. 1934.40.
Answer is B",0,0,0
E,"['A)9', 'B)10', 'C)16', 'D)7', 'E)18']","The ratio of a numerator to denominator is 2:3. If six is subtracted from the numerator, the new fraction is now 2/3 of the original fraction. Find the numerator.'","The ratio of a numerator to denominator is 2:3 --> x/y=2/3
If six is subtracted from the numerator, the new fraction is now 2/3 of the original fraction --> x−6/y=2/3∗2/3x--> x/y−6/y=4/9--> 2/3−6/y=4/9 --> 6/y=2/9--> y=27--> x27=23x27=23 --> x=18x=18.
Answer: E.",0,0,0
A,"['A)I only', 'B)II only', 'C)III only', 'D)I and II only', 'E)I, II and III']","At a casino, gamblers spin a number-wheel containing positive, two-digit numbers. If the gambler bets on a prime number, he/she will win 2 times their bet, if the wheel shows that number. If the gambler bets on a non-prime number, he/she only wins half their bet, if the wheel shows that number. If a gambler won $100, which of the choices is possible?
I. bet $50 on 11
II. bet $50 on 21
III. bet $200 on 89","There are only 3 possibilities to choose from, so
I. is possible (11 is prime) $50 X 2 = $100
II. is NOT possible (21 is not prime) $50/2 = $25
III. is NOT possible (81 is prime) $200 X 2 = $400
Answer: A",0,0,0
A,"['A)11', 'B)13', 'C)17', 'D)19', 'E)23']","One day in December 2015, three 2-digit prime numbers A, B and C, were
given to three members of a High School math team: Ashley, Beth, and Caitlin (respectively).
They had this conversation:
Ashley: \If you two add your numbers, we get precisely today's date!""
Beth: \If you two add your numbers, we get my birthday this month, which was before today.""
Caitlin: \If you two add your numbers, we get my birthday this month, which is after today.""
What number did Caitlin get?","The numbers A, B, C belong a priori in the set f11; 13; 17; 19g|Note that the
addition of any of these two 2-digit prime numbers cannot be greater than or equal to 30,
which places a strong restriction on the greatest of the three numbers: this must be at most
19. These are the only valid additions of any two numbers on that set:
11 + 11 = 22, 11 + 13 = 24, 11 + 17 = 29, 11 + 19 = 30, 13 + 13 = 26, 13 + 17 = 30
Note in particular the strict inequalities placed on the addition of any of these two numbers:
22 _<A + C < B + C < A + B _<30
Since C < B, there are only two possibilities for B+C at this point: B = 13,C = 11,B+C =
24, or B = 17,C = 11,B + C = 29.
correct answer A",0,0,0
E,"['A)16%', 'B)25%', 'C)32%', 'D)49%', 'E)50 %']","John spent 72% of his budget on fruits ( including apples) , and 36% of his budget on apples. What percent of the money spent on Fruits were not spent on apples.","72% of his budget on fruits;
36% of his budget on apples;
72%-36%=36% on fruits but not in apples --> 36/72=1/2=50% of the money spent on fruits were not spent on apples.
Answer: E.",0,0,0
E,"['A)1', 'B)3', 'C)4', 'D)5', 'E)7']","In a group of 18 children, there are twice as many girls as boys, and twice as many right-handed people as there are left-handed people. If a sixth of the boys are left-handed, how many girls are right-handed?","as per the question !!
total number of boys = 6 , total number girls =12
right handed = 12 , reft handed = 6
1/6(Boys)= left handed = 1
number of left handed people left = 5 = girls
total number of right handed girls = 12 - 5 = 7
E",0,0,0
A,"['A)2.16 hr', 'B)1.25 hr', 'C)1.5 hr', 'D)1.75 hr', 'E)2 hr']",A car is moving at the speed of 60 km per one hour. What is the time elapsed after traveling 130 km?,"The speed of the car is 60 km/hr. The speed-distance-time relation is v=x\t, where x is the distance traveled, t is the time elapsed, and v is the speed of the car. Plug the distance 130 and speed of 80 in this relation and get t.
t=x/v=130/60=2.16 hr
So the correct option is A",0,0,0
A,"['A)41.75%', 'B)40%', 'C)30%', 'D)33.25%', 'E)42%']","A farmer is trying to grow the largest pumpkin for the county fair. He estimates that in one month he will grow his current largest pumpkin by 35 percent. A traveling salesman offers him a plant fertilizer that is guaranteed to help grow the pumpkin an additional 5 percent. If the salesman's product works, what is the total percentage increases the farmer will achieve with his pumpkin in one month.","(100%+35%)*(100%+5%) = 1.35*1.05 = 1.4175 which constitutes a growth of 41.75% in the farmers pumpkin
The Answer is A",0,0,0
D,"['A)560', 'B)270', 'C)224', 'D)150', 'E)60']","Company X receives 16 applications for a job, 6 of which are from present employees of the company. If 3 of the applicants are to be hired, including exactly one of the applicants who is not a present employee of the company, how many distinct groups of applicants can be selected?","Out of the 16 applications, 6 are from present employees and 10 are from outside applicants.
From the 6 present employees, 2 need to be selected.
From the 10 outside applicants, 1 needs to be selected.
So you can make a group of three in 6C2 * 10C1 = 150 ways
Answer (D)",0,0,0
C,"['A)6', 'B)15', 'C)12', 'D)10', 'E)8']",The measures of the interior angles taken in order of a polygon form an arithmetic sequence. The least measurement in the sequence is 850. The greatest measurement is 2150. Find the number of sides in the given polygon,"Let n denote the number of sides of the polygon.
Now, the measures of interior angles form an arithmetic sequence.
Let the sum of the interior angles of the polygon be
Sn where a = 85 and l = 215.
We know that the sum of the interior angles of a polygon is (n-2)x1800
Sn=(n-2)x1800
n=12
Option C",0,0,0
D,"['A)$2', 'B)$4', 'C)$5', 'D)$6', 'E)$8']","An oculist charges $30.00 for an eye examination, frames, and glass lenses, but $48.00 for an eye examination, frames, and plastic lenses. If the plastic lenses cost four times as much as the glass lenses, how much do the glass lenses cost?","The difference between the charges is due to price difference of lenses.
Let P be the price of plastic lense and G be the price of glass lense.
Then, P-G=48-30 = 18
Also, P =4G
So 3G=18
or G=6
Answer : D",0,0,0
E,"['A)2000', 'B)2200', 'C)2400', 'D)2600', 'E)2900']","A salon spa loyalty program magazine charges a $250 program fee. In light of new tax laws, the price is planned to be increased by $40. If the program could lose 400 subscribers thereafter and still collect the same revenue as it did before, how many subscribers did the magazine have last year?","Assuming they had x subscribers last year
they earned x*250
after the new tax law
they earned (x-400)*290
as per the question
250x=290x-116000
x=116000/40
x=2900
E",0,0,0
C,"['A)10/23', 'B)12/23', 'C)11/23', 'D)13/23', 'E)15/23']","A picks a number from the bag where the bag consists of numbers from {1,2....23} and puts it in the same bag. Now, another person B picks a number from the bag. Find the probability that A has picked a greater number than B?","If Ram draws 1, then Sam can draw anything from 2 to 23 = 22 ways
If Ram draws 2, then Sam can draw anything from 3 to 23 = 21 ways
. . . .
. . . .
If Ram draws 23, Sam's number of option = 0 ways.
Total required ways = 22 + 21 + 20 + . . . . + 0 = 22×232 = 253
Total ways of drawing two cards = 23×23
Required probability = 253/529=11/23
ANSWER:C",0,0,0
C,"['A)3', 'B)15', 'C)7', 'D)8', 'E)9']","Ram has 12 pennies. He lost 5 of his pennies, how many does he have now?","If Ram starts with 12 pennies and loses 5, he will have 7 pennies left
12-5=7 C",0,0,0
E,"['A)8.', 'B)7.5.', 'C)7.', 'D)6.5.', 'E)6.']","A green lizard can travel from the green cave to the blue cave in 72 minutes; the blue lizard can travel from the blue cave to the green cave in 25% less time. If the green lizard started to travel 5.5 minutes before the blue lizard, how many minutes after the blue lizard, will the green lizard pass the middle line?","Time taken by green lizard to cover half dist=36 min
Time taken by blue lizard to cover full distance =0.75*72=54
Time taken by blue lizard to cover half dist=27
As green lizard started early it will reach 36-5.5=30.5
So, extra time taken by green lizard is 36.5-30.5=6mins
Answer: E",0,0,0
C,"['A)125', 'B)225', 'C)325', 'D)425', 'E)400']","If an electricity bill is paid before due date, one gets a reduction of 4 % on the amount of the bill. By paying the bill before due date, a person got a reduction of 13 . The amount of his electricity bill was","Let amount of electricity bill = N
∴ 4% of N = 13
(4 x N)/100 = 13
N = 13 x 25 = 325
ANSWER :C",0,0,0
C,"['A)26', 'B)27', 'C)28', 'D)29', 'E)30']","How many hand shakes will be there, if 8 people shake hands with every other person in the room?","No. of handshakes is n(n-1)/2
=> 8(8-1)/2 == 28
total no. of handshakes is 28
ANSWER:C",0,0,0
A,"['A)27', 'B)17', 'C)37', 'D)42', 'E)47']",A ticket to Disney land costs $24. Maria has been saving all summer to buy tickets for her and 15 friends. She has saved $323 so far. How much more will need to be saved in irder to buy the tickets.,"24*15=360
360-323=27
She needs $27 more to be able to buy the tickets.
Therefore A is correct",0,0,0
E,"['A)66', 'B)88', 'C)100', 'D)120', 'E)132']","A salesman makes a 10% commission on the selling price for each light switch he sells. If he sells 220 switches and the selling price of each switch is $6, what is his total commission?","Commission per one switch: 6 * 0.10 = 0.60
Total commission = total switches sold * commission per switch = 220 * 0.60 = 132
Answer is E.",0,0,0
B,"['A)80%', 'B)60%', 'C)40%', 'D)100%', 'E)20%']","G and H are each equal to 20% of Z. If G, H, and F are equal to 100% of Z together, what percentage of Z is F?","if...
G=.2Z
H=.2Z
G+H+F=Z
then...
Z=.2z+.2z+F
Z=.4z+F
Subtract .4z from both sides
.6z=F
F is 60% of Z
The answer is B",0,0,0
D,"['A)5 hr', 'B)6 hr', 'C)7 hr', 'D)12 hr', 'E)20 hr']","When Mary paints a house, it takes her 4 hours. When Lisa joins Mary, and they work together, it takes them only 3 hours to paint a house of the same size. How long would it take for Lisa to paint a house of the same size by herself?","Here, the rate equation becomes:
(# of houses) = (painting rate) x (time)
When Mary paints a house, it takes her 4 hours. Thus, (1 house) = (Mary’s rate) x (4 hr), so her rate is 1/4.
When Mary & Lisa paint together, it takes 3 hrs. Thus, (1 house) = (combined rate) x (3 hr) and the combined rate = 1/3.
To find a combined rate, we add individual rates.
(combined rate) = (Mary’s rate) + (Lisa’s rate)
1/3 = 1/4 + (Lisa’s rate)
(Lisa’s rate) = 1/3-1/4=1/3*4/4-1/4*3/3=4/12-3/12=1/12
Lisa’s rate is 1/12 of a house every hour, or in other words, 1 house in 12 hrs. Thus, it would take her 12 hours to paint a house of the same size.
Answer: D.",0,0,0
A,"['A)10', 'B)12', 'C)14', 'D)18', 'E)20']","Consider a school which consists of boys, girls and one teacher. There twice as many girls as boys. During prayer, this school follows a procedure where people bows to each other. Each girl and boy is required to bow to other girls, boys and their teacher. Each day 900 bows are completed. Find how many boys there are in the school ?","Let number of boys = n
number of girls = 2n
Total number of bows by each girl and each boy to each other =(2n+n)C2 =(3n)C2
Total number of bows given to the teacher by girls = 2n
total number of bows given to the teacher by boys = n
total number bows =(3n)c2 + 2n + n
900 =3n*(3n-1)+2n+n
900 =9(n^2)-3n+3n
900 = 9(n^2)
n=10
ANSWER:A",0,0,0
E,"['A)1.8 hours', 'B)6 hours', 'C)2.5 hours', 'D)4 hours', 'E)3 hours']","I have an amazing bath tub having both hot and cold water taps.
The cold water tap can fill my tub in 6 hours while cold water tap can fill the tub in approximately 4 hours.
I turned them on simultaneously but forgot to close the lid which removes the water out of tub.
The lid can empty the tub in exact 13 hours.
Since both taps are open along with the lib, can you estimate the time needed to fill the bath tub?","(1/4 + 1/6 - 1/12) ^ (-1)
= (1/3)^(-1) = 3",0,0,0
A,"['A)7', 'B)5', 'C)4', 'D)2', 'E)8']","A man had 43 sheep. he wanted to divide them equally among his 6 children. How many sheep shall he keep to himself, so as to equally divide remaining sheep among his 6 children?",Since he has 43 sheep and 6 children. The nearest number divisible by 6 is 42. So he would keep 1 sheep for himself and give 7 sheep to each child. So option A is correct.,0,0,0
D,"['A)$71.98', 'B)$251.93', 'C)$287.92', 'D)$359.90', 'E)$449.88']","If a jewelry store wants to sell a necklace for $179.95 next week at a 50% off sale, how much is the price of the necklace this week?","Let the price of necklace this week = p
Discount for next week = 50%
(1-50/100)p = 179.95
=>(50/100) p = 179.95
=> p = 359.90
Answer D",0,0,0
B,"['A)35', 'B)36', 'C)37', 'D)38', 'E)39']","At a company meeting, M men and W women meet in a conference room. If the ratio of men to women is 2:3 at the meeting and the conference room can hold no more than 64 people, then what is the maximum number of women who can be at the meeting?","M=2W/3
W+M=5W/3 <= 64
W <= 38.4
If W=38, then M=25.3 (inadmissible)
If W=37, then M=24.7 (inadmissible)
Then W = 36 and M = 24.
The answer is B.",0,0,0
A,"['A)676000', 'B)676', 'C)100', 'D)6760', 'E)25']",A password needs to contain 2 letters and 3 numbers. How many different passwords are possible if repetition of letters and numbers is allowed?,"Letters: 26x26= 676
Numbers: 10x10x10 = 1000
Answer: A",0,0,0
A,"['A)$5', 'B)$10', 'C)$21', 'D)$20', 'E)None of these']","In a end-of-season sale, the prices at a store have been cut to 90%. How many dollars would a $50 item cost?","Actual Cost of the item is $50
80% cut off on cost of the item = $50*90/100= $45
So, Actual cost minus cut off percentage cost = $50- $45= $5
Answer A",0,0,0
